Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Year
"Wed, Jul 5, 2023",Phoenix Mercury,95,New York Liberty,99,2023
"Thu, Jul 6, 2023",Seattle Storm,73,Connecticut Sun,93,2023
"Fri, Jul 7, 2023",Atlanta Dream,82,Chicago Sky,68,2023
"Fri, Jul 7, 2023",Las Vegas Aces,78,Dallas Wings,80,2023
"Fri, Jul 7, 2023",Phoenix Mercury,64,Minnesota Lynx,75,2023
"Fri, Jul 7, 2023",Indiana Fever,88,Washington Mystics,96,2023
"Sat, Jul 8, 2023",Seattle Storm,76,New York Liberty,80,2023
"Sun, Jul 9, 2023",Atlanta Dream,88,Chicago Sky,77,2023
"Sun, Jul 9, 2023",Washington Mystics,84,Connecticut Sun,92,2023
"Sun, Jul 9, 2023",Dallas Wings,77,Indiana Fever,76,2023
"Sun, Jul 9, 2023",Las Vegas Aces,113,Minnesota Lynx,89,2023
"Sun, Jul 9, 2023",Los Angeles Sparks,72,Phoenix Mercury,78,2023
"Tue, Jul 11, 2023",Phoenix Mercury,72,Las Vegas Aces,98,2023
